Timestamp,id,comment
7/15/2014 0:16:17,DEBUG1B5941C6-4684-46DB-B685-9327190CA3F5,Too strict
7/15/2014 14:31:57,4F31B368-A552-4ABD-B358-9ADA6FAC62B4,Just good
7/15/2014 21:45:07,6EA83654-032B-4B7E-8756-B750667A953F,Just good
7/16/2014 11:25:50,C58D5606-3016-4FFF-9D74-4546C31B5619,Just good
7/16/2014 13:08:02,DEBUGFB868C01-9EB2-4108-8919-BD51528A2333,Don't know
7/16/2014 14:47:13,DEBUGA5293176-19A4-4C3A-A42A-D37CC8A4AAAD,Don't know
7/16/2014 15:21:42,16F0BBDD-9893-4601-9E28-D07FE3AB1959,Just good
7/16/2014 19:47:00,E5305753-7BB3-4A9E-BA11-AAB7789BE7CF,Just good
7/17/2014 7:30:17,147B69D1-35D5-4263-AE71-0FDC0534655F,Too strict
7/17/2014 13:27:12,397D5732-4A91-4142-A23E-0903340A9243,Just good
7/18/2014 8:34:39,350189E0-1D41-4A93-9B6B-61F36673B4D9,Just good
7/18/2014 9:20:23,DC0DEEC8-AAF2-4729-950B-DC3477F08F74,Just good
7/19/2014 7:15:11,F7F137DE-37A9-457A-B5E5-7921AEF2BA6C,Just good
8/6/2014 22:55:32,C8AA4988-01D4-491D-A815-B3FCF86F069D,Just good
